"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C12,C13,C15,C16,C18,C21,C22,C24,C32,C34,C36,C39,C68";"C_0603";16;"M1";;;
2;"C4,C5,C6,C7";"TantalC_SizeD_EIA-7343_Reflow";4;"10M/25V/D";;;
3;"C8,C9,C10,C11";"TantalC_SizeD_EIA-7343_Reflow";4;"100M/6V3/D";;;
4;"C14,C17,C20";"C_0603";3;"1M";;;
5;"C19,C23";"C_0603";2;"18";;;
6;"C25,C26,C27,C28,C29,C30,C38,C48,C52,C53,C56,C61,C62,C69";"C_0603";14;"100";;;
7;"C31,C35,C46,C55,C59";"C_0603";5;"2M2";;;
8;"C33,C37,C40,C43,C47,C49,C50,C54,C60,C64,C65,C66,C75";"C_0603";13;"1n";;;
9;"C41";"C_0603";1;"2p7";;;
10;"C42,C70";"C_0603";2;"3p9";;;
11;"C44";"C_0603";1;"56";;;
12;"C45,C63";"C_0603";2;"4p7";;;
13;"C51";"C_0603";1;"10n";;;
14;"C57";"C_0603";1;"1p5";;;
15;"C58,C72,C74";"C_0603";3;"15";;;
16;"C67";"C_0603";1;"6p8";;;
17;"C71,C73";"C_0603";2;"2p2";;;
18;"D1,D2";"SMA_Handsoldering";2;"B260A";;;
19;"DD1,DD7";"SC-70-5";2;"TPS22945DCKR";;;
20;"DD2,DD3";"SOIC-8-N";2;"MIC4680-3.3BM";;;
21;"DD4";"LQFP-64_10x10mm_Pitch0.5mm";1;"SAM4SD16";;;
22;"DD8";"SAW";1;"SAW";;;
23;"DD9";"SOT-23-6";1;"AS193";;;
24;"DD10";"SOT89-3_Housing";1;"SPF5189Z";;;
25;"F1";"R_0603";1;"2A";;;
26;"K1,K3,K4";"Pin_Header_Straight_1x06";3;"CONN_6";;;
27;"K2";"Pin_Header_Straight_1x10";1;"CONN_10";;;
28;"K5,K6";"SMA";2;"SMA";;;
29;"K7";"Pin_Header_Straight_2x10";1;"HE10-20";;;
30;"K8";"Pin_Header_Straight_2x10";1;"SAM_JTAG";;;
31;"L3,L4";"UP2B";2;"UP2B-680";;;
32;"R1,R2,R3";"R_0603";3;"1k";;;
33;"R4";"R_0603";1;"22K";;;
34;"R5";"R_0603";1;"4K7";;;
35;"R6,R7,R8,R9,R10";"R_0603";5;"100K";;;
36;"R11";"R_0603";1;"180";;;
37;"R12";"R_0603";1;"18";;;
38;"DD5";"QFN-20-1EP_4x4mm_Pitch0.5mm";1;"SI4463";;;
39;"DD6";"UQFN-16-1EP_3x3mm_Pitch0.5mm";1;"RF5110G";;;
40;"X1";"crystal_FA238-TSX3225";1;"FA-238V-12MHZ";;;
41;"X2";"crystal_FA238-TSX3225";1;"7Q-26.000MBN-T";;;
42;"L1,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L27";"C_0805";14;"74279204";;;
43;"L2,L5,L24";"C_0805";3;"742792040";;;
44;"L18,L29,L33";"C_0603";3;"100n";;;
45;"L19";"C_0603";1;"18n";;;
46;"L20";"C_0603";1;"24nH";;;
47;"L21,L22,L25,L30";"C_0603";4;"12n";;;
48;"L23,L31";"C_0603";2;"1n5";;;
49;"L26";"C_0603";1;"3n6";;;
50;"L28,L32";"C_0603";2;"6n8";;;
51;"M1,M2,M3,M4";"M2";4;"CONN_01X01";;;
52;"M5,M6,M7,M8";"M3";4;"CONN_01X01";;;
53;"S1";"BMI-S-210-F";1;"BMI-S-210-F ";;;
